Title,DOI,Citations
A joint inference of deep case analysis and zero subject generation for Japanese-to-English statistical machine translation,10.3115/v1/P14-2091,2
Smart Selection,10.3115/v1/P14-1143,2
EM Decipherment for Large Vocabularies,10.3115/v1/P14-2123,2
Punctuation Processing for Projective Dependency Parsing,10.3115/v1/P14-2128,2
Pattern Dictionary of English Prepositions,10.3115/v1/P14-1120,2
Does the Phonology of L1 Show Up in L2 Texts?,10.3115/v1/P14-2138,2
Applying a Naive Bayes Similarity Measure to Word Sense Disambiguation,10.3115/v1/P14-2087,2
Probabilistic Labeling for Efficient Referential Grounding based on Collaborative Discourse,10.3115/v1/P14-2003,2
A Decision-Theoretic Approach to Natural Language Generation,10.3115/v1/P14-1052,2
KyotoEBMT: An Example-Based Dependency-to-Dependency Translation Framework,10.3115/v1/P14-5014,2
Response-based Learning for Grounded Machine Translation,10.3115/v1/P14-1083,2
WoSIT: A Word Sense Induction Toolkit for Search Result Clustering and Diversification,10.3115/v1/P14-5012,2
"Visualization, Search, and Error Analysis for Coreference Annotations",10.3115/v1/P14-5002,2
WINGS:Writing with Intelligent Guidance and Suggestions,10.3115/v1/P14-5005,2
Concreteness and Subjectivity as Dimensions of Lexical Meaning,10.3115/v1/P14-2118,2
Adaptive Quality Estimation for Machine Translation,10.3115/v1/P14-1067,2
Anchors Regularized: Adding Robustness and Extensibility to Scalable Topic-Modeling Algorithms,10.3115/v1/P14-1034,2
Parser Evaluation Using Derivation Trees: A Complement to evalb,10.3115/v1/P14-2109,2
How Well can We Learn Interpretable Entity Types from Text?,10.3115/v1/P14-2079,2
Identifying Real-Life Complex Task Names with Task-Intrinsic Entities from Microblogs,10.3115/v1/P14-2077,2
How to Speak a Language without Knowing It,10.3115/v1/P14-2046,2
Lattice Desegmentation for Statistical Machine Translation,10.3115/v1/P14-1010,2
POS induction with distributional and morphological information using a distance-dependent Chinese restaurant process,10.3115/v1/P14-2044,2
Descending-Path Convolution Kernel for Syntactic Structures,10.3115/v1/P14-2014,2
Constructing a Turkish-English Parallel TreeBank,10.3115/v1/P14-2019,2
That’s Not What I Meant! Using Parsers to Avoid Structural Ambiguities in Generated Text,10.3115/v1/P14-1039,1
Bayesian Kernel Methods for Natural Language Processing,10.3115/v1/P14-3001,1
DKPro Keyphrases: Flexible and Reusable Keyphrase Extraction Experiments,10.3115/v1/P14-5006,1
Mutual Disambiguation for Entity Linking,10.3115/v1/P14-2078,1
Encoding Relation Requirements for Relation Extraction via Joint Inference,10.3115/v1/P14-1077,1
Adaptive HTER Estimation for Document-Specific MT Post-Editing,10.3115/v1/P14-1081,1
Translation Assistance by Translation of L1 Fragments in an L2 Context,10.3115/v1/P14-1082,1
Determiner-Established Deixis to Communicative Artifacts in Pedagogical Text,10.3115/v1/P14-2067,1
Automation and Evaluation of the Keyword Method for Second Language Learning,10.3115/v1/P14-2058,1
Unsupervised Morphology-Based Vocabulary Expansion,10.3115/v1/P14-1127,1
kLogNLP: Graph Kernel–based Relational Learning of Natural Language,10.3115/v1/P14-5015,1
A Provably Correct Learning Algorithm for Latent-Variable PCFGs,10.3115/v1/P14-1099,1
Towards a discourse relation-aware approach for Chinese-English machine translation,10.3115/v1/P14-3003,1
RNN-based Derivation Structure Prediction for SMT,10.3115/v1/P14-2126,1
Hierarchical MT Training using Max-Violation Perceptron,10.3115/v1/P14-2127,1
Nonparametric Learning of Phonological Constraints in Optimality Theory,10.3115/v1/P14-1103,1
Unsupervised Solution Post Identification from Discussion Forums,10.3115/v1/P14-1015,1
Improved Iterative Correction for Distant Spelling Errors,10.3115/v1/P14-2028,1
Incremental Predictive Parsing with TurboParser,10.3115/v1/P14-2130,1
A Novel Content Enriching Model for Microblog Using News Corpus,10.3115/v1/P14-2036,1
Simple extensions and POS Tags for a reparameterised IBM Model 2,10.3115/v1/P14-2025,1
Lexical Inference over Multi-Word Predicates: A Distributional Approach,10.3115/v1/P14-1061,0
lex4all: A language-independent tool for building and evaluating pronunciation lexicons for small-vocabulary speech recognition,10.3115/v1/P14-5019,0
Semantics for Large-Scale Multimedia: New Challenges for NLP,10.3115/v1/P14-6003,0
"Semantics, Discourse and Statistical Machine Translation",10.3115/v1/P14-6007,0
Scalable Large-Margin Structured Learning: Theory and Algorithms,10.3115/v1/P14-6002,0
Vector space semantics with frequency-driven motifs,10.3115/v1/P14-1060,0
Simplified Dependency Annotations with GFL-Web,10.3115/v1/P14-5021,0
A Rule-Augmented Statistical Phrase-based Translation System,10.3115/v1/P14-5013,0
